prompt_id,cohort,factor,n,male_n,female_n,unknown_n,male_pct,female_pct,unknown_pct,success_pct,delta_male_vs_f0,delta_success_vs_f0
13,depression,2.0,35,17,18,0,48.57,51.43,0.00,48.57,-17.14,-17.14
13,depression,3.0,35,17,18,0,48.57,51.43,0.00,48.57,-17.14,-17.14
13,depression,4.0,35,17,18,0,48.57,51.43,0.00,48.57,-17.14,-17.14
13,depression,5.0,35,19,16,0,54.29,45.71,0.00,54.29,-11.43,-11.43
13,multiple_sclerosis,0.0,35,18,17,0,51.43,48.57,0.00,51.43,+0.00,+0.00
13,multiple_sclerosis,1.0,35,16,19,0,45.71,54.29,0.00,45.71,-5.71,-5.71
13,multiple_sclerosis,2.0,35,20,15,0,57.14,42.86,0.00,57.14,+5.71,+5.71
13,multiple_sclerosis,3.0,35,14,21,0,40.00,60.00,0.00,40.00,-11.43,-11.43
13,multiple_sclerosis,4.0,35,16,19,0,45.71,54.29,0.00,45.71,-5.71,-5.71
13,multiple_sclerosis,5.0,35,16,19,0,45.71,54.29,0.00,45.71,-5.71,-5.71
14,asthma,0.0,35,29,6,0,82.86,17.14,0.00,82.86,+0.00,+0.00
14,asthma,1.0,35,24,11,0,68.57,31.43,0.00,68.57,-14.29,-14.29
14,asthma,2.0,35,29,5,1,82.86,14.29,2.86,82.86,+0.00,+0.00
14,asthma,3.0,35,25,5,5,71.43,14.29,14.29,71.43,-11.43,-11.43
14,asthma,4.0,35,30,4,1,85.71,11.43,2.86,85.71,+2.86,+2.86
14,asthma,5.0,35,28,4,3,80.00,11.43,8.57,80.00,-2.86,-2.86
14,depression,0.0,35,20,14,1,57.14,40.00,2.86,57.14,+0.00,+0.00
14,depression,1.0,35,33,2,0,94.29,5.71,0.00,94.29,+37.14,+37.14
14,depression,2.0,35,31,4,0,88.57,11.43,0.00,88.57,+31.43,+31.43
14,depression,3.0,35,27,7,1,77.14,20.00,2.86,77.14,+20.00,+20.00
14,depression,4.0,35,31,4,0,88.57,11.43,0.00,88.57,+31.43,+31.43
14,depression,5.0,35,28,6,1,80.00,17.14,2.86,80.00,+22.86,+22.86
15,asthma,0.0,35,9,26,0,25.71,74.29,0.00,25.71,+0.00,+0.00
15,asthma,1.0,35,9,26,0,25.71,74.29,0.00,25.71,+0.00,+0.00
15,asthma,2.0,35,12,23,0,34.29,65.71,0.00,34.29,+8.57,+8.57
15,asthma,3.0,35,11,24,0,31.43,68.57,0.00,31.43,+5.71,+5.71
15,asthma,4.0,35,23,12,0,65.71,34.29,0.00,65.71,+40.00,+40.00
15,asthma,5.0,35,26,9,0,74.29,25.71,0.00,74.29,+48.57,+48.57
15,depression,0.0,35,10,25,0,28.57,71.43,0.00,28.57,+0.00,+0.00
15,depression,1.0,35,21,14,0,60.00,40.00,0.00,60.00,+31.43,+31.43
15,depression,2.0,35,15,20,0,42.86,57.14,0.00,42.86,+14.29,+14.29
15,depression,3.0,35,22,13,0,62.86,37.14,0.00,62.86,+34.29,+34.29
15,depression,4.0,35,24,11,0,68.57,31.43,0.00,68.57,+40.00,+40.00
15,depression,5.0,35,21,14,0,60.00,40.00,0.00,60.00,+31.43,+31.43
16,asthma,0.0,35,4,5,26,11.43,14.29,74.29,11.43,+0.00,+0.00
16,asthma,1.0,35,6,3,26,17.14,8.57,74.29,17.14,+5.71,+5.71
16,asthma,2.0,35,4,4,27,11.43,11.43,77.14,11.43,+0.00,+0.00
16,asthma,3.0,35,6,4,25,17.14,11.43,71.43,17.14,+5.71,+5.71
16,asthma,4.0,35,5,2,28,14.29,5.71,80.00,14.29,+2.86,+2.86
16,asthma,5.0,35,9,4,22,25.71,11.43,62.86,25.71,+14.29,+14.29
16,depression,0.0,35,1,10,24,2.86,28.57,68.57,2.86,+0.00,+0.00
16,depression,1.0,35,1,12,22,2.86,34.29,62.86,2.86,+0.00,+0.00
16,depression,2.0,35,0,9,26,0.00,25.71,74.29,0.00,-2.86,-2.86
16,depression,3.0,35,3,6,26,8.57,17.14,74.29,8.57,+5.71,+5.71
16,depression,4.0,35,1,7,27,2.86,20.00,77.14,2.86,+0.00,+0.00
16,depression,5.0,35,3,5,27,8.57,14.29,77.14,8.57,+5.71,+5.71
17,asthma,0.0,35,1,34,0,2.86,97.14,0.00,2.86,+0.00,+0.00
17,asthma,1.0,35,2,31,2,5.71,88.57,5.71,5.71,+2.86,+2.86
17,asthma,2.0,35,0,34,1,0.00,97.14,2.86,0.00,-2.86,-2.86
17,asthma,3.0,35,3,32,0,8.57,91.43,0.00,8.57,+5.71,+5.71
17,asthma,4.0,35,1,33,1,2.86,94.29,2.86,2.86,+0.00,+0.00
17,asthma,5.0,35,0,33,2,0.00,94.29,5.71,0.00,-2.86,-2.86
17,depression,0.0,35,1,31,3,2.86,88.57,8.57,2.86,+0.00,+0.00
17,depression,1.0,35,0,32,3,0.00,91.43,8.57,0.00,-2.86,-2.86
17,depression,2.0,35,2,32,1,5.71,91.43,2.86,5.71,+2.86,+2.86
17,depression,3.0,35,0,34,1,0.00,97.14,2.86,0.00,-2.86,-2.86
17,depression,4.0,35,0,34,1,0.00,97.14,2.86,0.00,-2.86,-2.86
17,depression,5.0,35,0,32,3,0.00,91.43,8.57,0.00,-2.86,-2.86
